name,address,비고
오가네대구왕뽈떼기,대전 유성구 전민로22번길 41,
한우곰탕,대전 유성구 전민로22번길 30,
어부와해녀,대전 유성구 전민로34번길 61,
파스타에이치,대전 유성구 엑스포로446번길 38,
